,Metal Symbol,M Number,X Symbol,X Number,Metal Sym Number,Metal Group,Metal Row,Metal Mass,Metal Density,Metal Inter-atomic Distance,Metal Covalent Radius,Metal First Ionization Energy,Metal Electron Affinity,X Sym Number,X Group,X Row,X Mass,X Density,X Inter-atomic Distance,X Covalent Radius,X First Ionization Energy,X Electron Affinity
MoB,Mo,1,B,1,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
MoB2,Mo,1,B,2,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Mo2B,Mo,2,B,1,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Mo3B4,Mo,3,B,4,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Mo5B2,Mo,5,B,2,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
MoC,Mo,1,C,1,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
MoC2,Mo,1,C,2,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Mo2C,Mo,2,C,1,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Mo3C4,Mo,3,C,4,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Mo5C2,Mo,5,C,2,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
