,Metal Symbol,M Number,X Symbol,X Number,Metal Sym Number,Metal Group,Metal Row,Metal Mass,Metal Density,Metal Inter-atomic Distance,Metal Covalent Radius,Metal First Ionization Energy,Metal Electron Affinity,X Sym Number,X Group,X Row,X Mass,X Density,X Inter-atomic Distance,X Covalent Radius,X First Ionization Energy,X Electron Affinity,a,b,c,space_group
MoB,Mo,1,B,1,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.13188,3.13188,8.811187301545463,141
MoB2,Mo,1,B,2,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.0304928158258355,3.0304928158258355,3.349321,191
Mo2B,Mo,2,B,1,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,4.601682852872197,4.601682852872197,4.601682852872197,140
Mo3B4,Mo,3,B,4,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
Mo5B2,Mo,5,B,2,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
MoC,Mo,1,C,1,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.0993409458221923,3.0993409458221923,3.0993409458221923,225
MoC2,Mo,1,C,2,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Mo2C,Mo,2,C,1,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,2.884921359196122,2.884921359196122,5.485081,187
Mo3C4,Mo,3,C,4,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Mo5C2,Mo,5,C,2,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
MoN,Mo,1,N,1,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,5.358692325532042,5.358692325532042,5.358692325532042,74
MoN2,Mo,1,N,2,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,4.348053,4.348053,2.76746,127
Mo2N,Mo,2,N,1,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,5.043594590258618,5.043594590258618,5.043594590258618,141
Mo3N4,Mo,3,N,4,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
Mo5N2,Mo,5,N,2,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
MnB,Mn,1,B,1,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,6.770085,6.770085,3.960809,138
MnB2,Mn,1,B,2,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,2.9889825685851696,2.9889825685851696,2.94751,191
Mn2B,Mn,2,B,1,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,4.128524332184927,4.128524332184927,4.128524332184927,140
Mn3B4,Mn,3,B,4,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,6.720769374577065,6.720769374577065,6.720769374577065,71
Mn5B2,Mn,5,B,2,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
MnC,Mn,1,C,1,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
MnC2,Mn,1,C,2,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Mn2C,Mn,2,C,1,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Mn3C4,Mn,3,C,4,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Mn5C2,Mn,5,C,2,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,6.227861717358615,6.227861717358615,4.997432957420039,15
MnN,Mn,1,N,1,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.9255736969862856,2.9255736969862856,2.9255736969862856,225
MnN2,Mn,1,N,2,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
Mn2N,Mn,2,N,1,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.8242717408877285,2.8242717408877285,4.401665,164
Mn3N4,Mn,3,N,4,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,7.828821364591543,7.828821364591543,2.620056,176
Mn5N2,Mn,5,N,2,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
FeB,Fe,1,B,1,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.90014,6.692924,6.692924,138
FeB2,Fe,1,B,2,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,2.763627,3.0191978553259804,3.0191978553259804,191
Fe2B,Fe,2,B,1,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,4.160264037541247,4.160264037541247,4.160264037541247,140
Fe3B4,Fe,3,B,4,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
Fe5B2,Fe,5,B,2,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
FeC,Fe,1,C,1,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
FeC2,Fe,1,C,2,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Fe2C,Fe,2,C,1,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.699185957284386,3.699185957284386,2.641804,191
Fe3C4,Fe,3,C,4,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Fe5C2,Fe,5,C,2,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,4.522894,5.004117,11.985526418751911,13
FeN,Fe,1,N,1,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.885121532248165,2.885121532248165,2.885121532248165,225
FeN2,Fe,1,N,2,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.576684,3.87171,4.629448,58
Fe2N,Fe,2,N,1,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,4.347445,4.746325,5.4684,60
Fe3N4,Fe,3,N,4,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
Fe5N2,Fe,5,N,2,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
NbB,Nb,1,B,1,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.182971,3.317732,4.693352100119913,63
NbB2,Nb,1,B,2,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.1120833048318293,3.1120833048318293,3.337463,191
Nb2B,Nb,2,B,1,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
Nb3B4,Nb,3,B,4,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,7.445911285460565,7.445911285460565,7.445911285460565,71
Nb5B2,Nb,5,B,2,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
NbC,Nb,1,C,1,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,2.806433,2.806433,2.806433,221
NbC2,Nb,1,C,2,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Nb2C,Nb,2,C,1,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.106926,4.999598,11.023332,62
Nb3C4,Nb,3,C,4,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Nb5C2,Nb,5,C,2,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
NbN,Nb,1,N,1,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.998928145387948,2.998928145387948,5.618403,194
NbN2,Nb,1,N,2,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
Nb2N,Nb,2,N,1,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,3.1574200602605917,3.1574200602605917,4.856693,164
Nb3N4,Nb,3,N,4,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
Nb5N2,Nb,5,N,2,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
WB,W,1,B,1,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.109849,3.182862,4.550855911401393,63
WB2,W,1,B,2,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.0223868174912685,3.0223868174912685,3.382029,191
W2B,W,2,B,1,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,4.624722445304367,4.624722445304367,4.624722445304367,140
