Te Actual E0,Te Predicted E0
-0.274,-0.35
-0.95692541,-1.0115733675
-0.553,-0.6244434059999999
-0.47722466,-0.15812722499999998
0.48395404,-0.42558190500000004
-0.43,-0.8622555812499999
-0.04,-0.13575
0.44061743,-0.59039549
-0.85314334,-0.47175002
-0.518,-0.6244434059999999
-1.16814704,-1.12531649
0.22865765,-0.47175002
-0.93114353,-0.3789491
-0.64171637,-0.81151515
-1.032,-1.0115733675
-0.89496127,-1.57199624
-0.37604277,-0.2407627
-0.506,-0.52635541
-0.377,-0.077
-0.8612572,-1.57199624
-0.562,-0.6900878
-0.54790107,0.2249784
-0.67906937,-0.52635541
-0.56,-0.3818742925
-0.94305278,-0.6900878
-0.63449428,-0.15812722499999998
-0.73248494,-0.81151515
