Tr Actual E0,Tr Predicted E0
-0.94328199,-0.8622555812499999
-0.86200774,-0.8360038700000001
-0.03993522,-0.03993522
-0.385,-0.3818742925
-0.163,-0.13575
-0.383,-0.3818742925
-0.292,-0.292
-0.749,-0.749
-1.0971139,-1.0971139
-0.42317356,-0.42558190500000004
-0.54162563,-0.5469685266666667
-1.12531649,-1.12531649
-1.0403769,-1.0403769
-0.81151515,-0.81151515
-1.026,-1.0115733675
-0.66467793,-0.66467793
-0.98491731,-0.8622555812499999
-0.077,-0.077
-0.73186329,-0.8622555812499999
-0.81424767,-0.8622555812499999
-0.6900878,-0.6900878
-0.52635541,-0.52635541
-0.15171683,-0.15812722499999998
-1.01087654,-1.0115733675
-0.4781702,-0.5469685266666667
-0.42799025,-0.42558190500000004
-1.70572679,-1.70572679
-0.691,-0.6244434059999999
-1.02573532,-1.02573532
-0.47175002,-0.47175002
-0.3789491,-0.3789491
-0.43518893,-0.43518893
-1.57199624,-1.57199624
-0.86653899,-0.8622555812499999
-0.51163341,-0.5469685266666667
-0.79596622,-0.79596622
-0.97658383,-1.0115733675
-0.229108,-0.229108
-0.38849717,-0.3818742925
-0.719,-0.719
-1.2798031,-1.2798031
-0.836,-0.8622555812499999
-0.547,-0.547
-0.59782552,-0.5469685266666667
-0.537,-0.537
-0.16453762,-0.15812722499999998
-0.194,-0.1825
-0.55721703,-0.6244434059999999
-0.2407627,-0.2407627
-0.5935564,-0.5469685266666667
-0.843,-0.8622555812499999
-0.086,-0.086
-0.559,-0.5469685266666667
-0.503,-0.501737975
0.2249784,0.2249784
-0.371,-0.3818742925
-0.651,-0.6244434059999999
-0.108,-0.13575
-0.35148528,-0.35148528
-0.50047595,-0.501737975
-1.054,-1.0115733675
-0.81,-0.8360038700000001
-0.91883635,-1.0115733675
-0.35,-0.35
-0.96498014,-1.0115733675
-1.12678703,-1.12678703
-1.05263341,-1.05263341
-0.0479683,-0.0479683
-0.677,-0.677
-0.138,-0.13575
-0.556,-0.6244434059999999
-0.171,-0.1825
-0.8781954,-0.8622555812499999
-0.59039549,-0.59039549
-0.134,-0.13575
-1.06864214,-1.0115733675
-0.667,-0.6244434059999999
-0.60900685,-0.60900685
-0.70610557,-0.70610557
-1.07266794,-1.0115733675
-0.96903447,-0.96903447
