,Metal Symbol,M Number,X Symbol,X Number,Metal Sym Number,Metal Group,Metal Row,Metal Mass,Metal Density,Metal Inter-atomic Distance,Metal Covalent Radius,Metal First Ionization Energy,Metal Electron Affinity,X Sym Number,X Group,X Row,X Mass,X Density,X Inter-atomic Distance,X Covalent Radius,X First Ionization Energy,X Electron Affinity,Energy,a,b,c,space_group,elastic_constants,surface_properties
Co2B1,Co,2,B,1,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.47175002,,,,,,
Cr2B1,Cr,2,B,1,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.98491731,,,,,,
Fe2B1,Fe,2,B,1,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.47722466,,,,,,
Hf2B1,Hf,2,B,1,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-1.02618987,,,,,,
Ir2B1,Ir,2,B,1,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.13463746,,,,,,
Mn2B1,Mn,2,B,1,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.63449428,,,,,,
Mo2B1,Mo,2,B,1,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.6900878,,,,,,
Nb2B1,Nb,2,B,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-1.02746434,,,,,,
Ni2B1,Ni,2,B,1,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.42799025,,,,,,
Os2B1,Os,2,B,1,76,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,76,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.22711286,,,,,,
Pd2B1,Pd,2,B,1,46,10,5,106.42,12.02,2.449754722,1.39,8.336839,0.5621412,46,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.03993522,,,,,,
Pt2B1,Pt,2,B,1,78,10,6,195.078,21.45,2.4717811,1.36,8.95883,2.125105,78,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,0.44061743,,,,,,
Re2B1,Re,2,B,1,75,7,6,186.207,21.02,2.450214496,1.51,7.83352,0.06039663,75,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.49826842,,,,,,
Rh2B1,Rh,2,B,1,45,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892,45,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.54790107,,,,,,
Ru2B1,Ru,2,B,1,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.32002169,,,,,,
Sc2B1,Sc,2,B,1,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.82555587,,,,,,
Ta2B1,Ta,2,B,1,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-1.06864214,,,,,,
Tc2B1,Tc,2,B,1,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.50253835,,,,,,
Ti2B1,Ti,2,B,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.95692541,,,,,,
V2B1,V,2,B,1,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-1.06156146,,,,,,
W2B1,W,2,B,1,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.51163341,,,,,,
Y2B1,Y,2,B,1,39,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712,39,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.86411942,,,,,,
Zr2B1,Zr,2,B,1,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.93784873,,,,,,
Co2B2,Co,2,B,2,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.0479683,,,,,,
