,M Number,X Number,Metal Sym Number,Metal Group,Metal Row,Metal Mass,Metal Density,Metal Inter-atomic Distance,Metal Covalent Radius,Metal First Ionization Energy,Metal Electron Affinity,X Sym Number,X Group,X Row,X Mass,X Density,X Inter-atomic Distance,X Covalent Radius,X First Ionization Energy,X Electron Affinity,Predicted_Energy
IrC,1,1,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.228883889
IrC2,1,2,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.261939924
Ir2C,2,1,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.258205338
Ir3C4,3,4,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.306356083
Ir5C2,5,2,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.261220013
IrN,1,1,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.275002983
IrN2,1,2,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.33880112
Ir2N,2,1,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.298025726
Ir3N4,3,4,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.36675499
Ir5N2,5,2,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.348038541
IrB,1,1,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.221872395
IrB2,1,2,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.281162471
Ir2B,2,1,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.257273798
Ir3B4,3,4,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.353623656
Ir5B2,5,2,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.299425577
NbC,1,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.911068453
NbC2,1,2,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.917399768
Nb2C,2,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.987599689
Nb3C4,3,4,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.93455239
Nb5C2,5,2,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.918722948
NbN,1,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.817749037
NbN2,1,2,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.904061895
Nb2N,2,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.830652569
Nb3N4,3,4,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.953832322
Nb5N2,5,2,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.950919259
NbB,1,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.667765863
NbB2,1,2,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.745569484
Nb2B,2,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.96622901
Nb3B4,3,4,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.822495713
Nb5B2,5,2,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.654013707
RuC,1,1,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.166805127
RuC2,1,2,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.21785626
Ru2C,2,1,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.233869947
Ru3C4,3,4,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.233266825
Ru5C2,5,2,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.19203129
RuN,1,1,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.288607722
RuN2,1,2,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.357922683
Ru2N,2,1,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.301859021
Ru3N4,3,4,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.396744936
Ru5N2,5,2,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.384915087
RuB,1,1,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.306083788
RuB2,1,2,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.336938669
Ru2B,2,1,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.457120551
Ru3B4,3,4,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.353862838
