Formula,Metal Symbol,M Number,X Symbol,X Number,Metal Mass,Metal Density,Metal Interatomic Distance,Metal Covalent Radius,X Mass,X Density,X Interatomic Distance,X Covalent Radius
Tc1N1,Tc,1,N,1,98,11.5,2.4187580042950745,1.47,14.0067,0.808,3.064722544994379,0.71
Tc1N2,Tc,1,N,2,98,11.5,2.4187580042950745,1.47,14.0067,0.808,3.064722544994379,0.71
Tc2N1,Tc,2,N,1,98,11.5,2.4187580042950745,1.47,14.0067,0.808,3.064722544994379,0.71
Tc3N4,Tc,3,N,4,98,11.5,2.4187580042950745,1.47,14.0067,0.808,3.064722544994379,0.71
Tc5N2,Tc,5,N,2,98,11.5,2.4187580042950745,1.47,14.0067,0.808,3.064722544994379,0.71
Tc1B1,Tc,1,B,1,98,11.5,2.4187580042950745,1.47,10.811,2.34,1.972269889478773,0.84
Tc1B2,Tc,1,B,2,98,11.5,2.4187580042950745,1.47,10.811,2.34,1.972269889478773,0.84
Tc2B1,Tc,2,B,1,98,11.5,2.4187580042950745,1.47,10.811,2.34,1.972269889478773,0.84
Tc3B4,Tc,3,B,4,98,11.5,2.4187580042950745,1.47,10.811,2.34,1.972269889478773,0.84
Tc5B2,Tc,5,B,2,98,11.5,2.4187580042950745,1.47,10.811,2.34,1.972269889478773,0.84
Tc1C1,Tc,1,C,1,98,11.5,2.4187580042950745,1.47,12.0107,2.2,2.085122400680275,0.76
Tc1C2,Tc,1,C,2,98,11.5,2.4187580042950745,1.47,12.0107,2.2,2.085122400680275,0.76
Tc2C1,Tc,2,C,1,98,11.5,2.4187580042950745,1.47,12.0107,2.2,2.085122400680275,0.76
Tc3C4,Tc,3,C,4,98,11.5,2.4187580042950745,1.47,12.0107,2.2,2.085122400680275,0.76
Tc5C2,Tc,5,C,2,98,11.5,2.4187580042950745,1.47,12.0107,2.2,2.085122400680275,0.76
Fe1N1,Fe,1,N,1,55.845,7.874,2.2751636270238866,1.32,14.0067,0.808,3.064722544994379,0.71
Fe1N2,Fe,1,N,2,55.845,7.874,2.2751636270238866,1.32,14.0067,0.808,3.064722544994379,0.71
Fe2N1,Fe,2,N,1,55.845,7.874,2.2751636270238866,1.32,14.0067,0.808,3.064722544994379,0.71
Fe3N4,Fe,3,N,4,55.845,7.874,2.2751636270238866,1.32,14.0067,0.808,3.064722544994379,0.71
Fe5N2,Fe,5,N,2,55.845,7.874,2.2751636270238866,1.32,14.0067,0.808,3.064722544994379,0.71
Fe1B1,Fe,1,B,1,55.845,7.874,2.2751636270238866,1.32,10.811,2.34,1.972269889478773,0.84
Fe1B2,Fe,1,B,2,55.845,7.874,2.2751636270238866,1.32,10.811,2.34,1.972269889478773,0.84
Fe2B1,Fe,2,B,1,55.845,7.874,2.2751636270238866,1.32,10.811,2.34,1.972269889478773,0.84
Fe3B4,Fe,3,B,4,55.845,7.874,2.2751636270238866,1.32,10.811,2.34,1.972269889478773,0.84
Fe5B2,Fe,5,B,2,55.845,7.874,2.2751636270238866,1.32,10.811,2.34,1.972269889478773,0.84
Fe1C1,Fe,1,C,1,55.845,7.874,2.2751636270238866,1.32,12.0107,2.2,2.085122400680275,0.76
Fe1C2,Fe,1,C,2,55.845,7.874,2.2751636270238866,1.32,12.0107,2.2,2.085122400680275,0.76
Fe2C1,Fe,2,C,1,55.845,7.874,2.2751636270238866,1.32,12.0107,2.2,2.085122400680275,0.76
Fe3C4,Fe,3,C,4,55.845,7.874,2.2751636270238866,1.32,12.0107,2.2,2.085122400680275,0.76
Fe5C2,Fe,5,C,2,55.845,7.874,2.2751636270238866,1.32,12.0107,2.2,2.085122400680275,0.76
Ru1N1,Ru,1,N,1,101.07,12.41,2.382501425616403,1.46,14.0067,0.808,3.064722544994379,0.71
Ru1N2,Ru,1,N,2,101.07,12.41,2.382501425616403,1.46,14.0067,0.808,3.064722544994379,0.71
Ru2N1,Ru,2,N,1,101.07,12.41,2.382501425616403,1.46,14.0067,0.808,3.064722544994379,0.71
Ru3N4,Ru,3,N,4,101.07,12.41,2.382501425616403,1.46,14.0067,0.808,3.064722544994379,0.71
Ru5N2,Ru,5,N,2,101.07,12.41,2.382501425616403,1.46,14.0067,0.808,3.064722544994379,0.71
Ru1B1,Ru,1,B,1,101.07,12.41,2.382501425616403,1.46,10.811,2.34,1.972269889478773,0.84
Ru1B2,Ru,1,B,2,101.07,12.41,2.382501425616403,1.46,10.811,2.34,1.972269889478773,0.84
Ru2B1,Ru,2,B,1,101.07,12.41,2.382501425616403,1.46,10.811,2.34,1.972269889478773,0.84
Ru3B4,Ru,3,B,4,101.07,12.41,2.382501425616403,1.46,10.811,2.34,1.972269889478773,0.84
Ru5B2,Ru,5,B,2,101.07,12.41,2.382501425616403,1.46,10.811,2.34,1.972269889478773,0.84
Ru1C1,Ru,1,C,1,101.07,12.41,2.382501425616403,1.46,12.0107,2.2,2.085122400680275,0.76
Ru1C2,Ru,1,C,2,101.07,12.41,2.382501425616403,1.46,12.0107,2.2,2.085122400680275,0.76
Ru2C1,Ru,2,C,1,101.07,12.41,2.382501425616403,1.46,12.0107,2.2,2.085122400680275,0.76
