Te Actual E0,Te Predicted E0
-1.08613209,-0.95737556
-0.95692541,-1.06156146
0.30436329,-0.16453762
-1.05904721,-0.60900685
-0.04,-0.138
-0.35,-0.383
-1.02746434,-0.51163341
-0.836,-0.71
-0.76291948,-0.3789491
-1.07266794,-0.94328199
-0.63449428,-0.47722466
-0.559,-0.51163341
-0.667,-0.518
-1.006,-1.054
-0.637,-0.518
-0.163,-0.719
-0.52,-0.719
-0.70610557,-0.91153214
-1.0403769,-1.0563312
-0.547,-0.81
-0.96903447,-0.5935564
-0.46217204,-0.55414339
-0.35148528,-0.59039549
-0.543,-0.377
-0.13463746,-0.85314334
-0.69422387,-0.50047595
-1.57199624,-0.64171637
-0.843,-0.71
-0.38849717,-0.67906937
-1.10193347,-1.0563312
-0.92404966,-1.16814704
-1.01087654,-0.99991635
-0.52635541,-1.02618987
-0.94939097,-0.4781702
-0.691,-0.553
-0.292,-0.37
-0.42799025,-0.47175002
-0.43437729,-0.2407627
-1.05263341,-1.02573532
-0.424,-0.719
-1.1107946,-1.08335403
-0.50947717,-0.59782552
-0.37604277,-0.2407627
-0.55721703,-0.54162563
-0.77285153,-0.8612572
-1.07163665,-1.07631424
