Tr Actual E0,Tr Predicted E0
-1.032,-1.032
-1.16814704,-1.16814704
-1.06156146,-1.06156146
-0.134,-0.134
-1.054,-1.054
-0.81,-0.81
-1.06864214,-1.06864214
-0.97658383,-0.97658383
-0.677,-0.677
-0.489,-0.489
-0.42317356,-0.42317356
-0.73248494,-0.73248494
-0.93784873,-0.93784873
-0.625,-0.625
-0.8612572,-0.8612572
-0.077,-0.077
-0.171,-0.171
-1.2798031,-1.2798031
-0.374,-0.374
-0.85314334,-0.85314334
-1.016,-1.016
-0.37,-0.37
-1.015,-1.015
-1.017,-1.017
-0.553,-0.553
-0.96498014,-0.96498014
-0.47722466,-0.47722466
-0.4781702,-0.4781702
-0.64171637,-0.64171637
-1.12678703,-1.12678703
-0.86200774,-0.86200774
-0.03993522,-0.03993522
-0.523,-0.523
-0.91883635,-0.91883635
-0.562,-0.562
-0.719,-0.719
-0.651,-0.651
-0.60900685,-0.60900685
-0.91153214,-0.91153214
-0.71,-0.71
-0.371,-0.371
-0.3789491,-0.3789491
-0.194,-0.194
-0.87099675,-0.87099675
-0.81424767,-0.81424767
-0.417,-0.417
-0.43518893,-0.43518893
-1.1130244,-1.1130244
-0.94305278,-0.94305278
-0.59782552,-0.59782552
-1.0563312,-1.0563312
-0.54790107,-0.54790107
-0.504,-0.504
-0.0479683,-0.0479683
-0.994,-0.994
-0.108,-0.108
-0.51163341,-0.51163341
-0.82555587,-0.82555587
-1.05252683,-1.05252683
-0.81151515,-0.81151515
-0.99991635,-0.99991635
-1.0971139,-1.0971139
-0.5935564,-0.5935564
-1.02618987,-1.02618987
-0.086,-0.086
-0.556,-0.556
-0.6900878,-0.6900878
-0.73186329,-0.73186329
-0.94328199,-0.94328199
-1.70572679,-1.70572679
-0.503,-0.503
-0.49826842,-0.49826842
-0.377,-0.377
-0.656,-0.656
-0.32002169,-0.32002169
-0.47175002,-0.47175002
-1.02573532,-1.02573532
-0.56,-0.56
-0.55414339,-0.55414339
0.44061743,0.44061743
-0.278,-0.278
-1.12531649,-1.12531649
-0.229108,-0.229108
-0.50047595,-0.50047595
-0.28636235,-0.28636235
-0.98491731,-0.98491731
-0.506,-0.506
-0.979,-0.979
-0.2407627,-0.2407627
-0.95737556,-0.95737556
-1.074,-1.074
-0.327,-0.327
-0.50253835,-0.50253835
-0.25614808,-0.25614808
-0.995,-0.995
-0.8781954,-0.8781954
-0.518,-0.518
-0.385,-0.385
0.22865765,0.22865765
-0.15171683,-0.15171683
-1.026,-1.026
0.2249784,0.2249784
-0.383,-0.383
-0.473,-0.473
-0.283,-0.283
-0.59039549,-0.59039549
-1.011,-1.011
-0.537,-0.537
-0.138,-0.138
-0.54162563,-0.54162563
-1.06798906,-1.06798906
-0.89496127,-0.89496127
-2.5721744,-2.5721744
-0.5,-0.5
-0.654,-0.654
-0.544,-0.544
-0.93114353,-0.93114353
-0.86653899,-0.86653899
-0.16453762,-0.16453762
-0.99616337,-0.99616337
-0.43,-0.43
-0.749,-0.749
-0.67906937,-0.67906937
-1.17110452,-1.17110452
-0.274,-0.274
-1.08335403,-1.08335403
-0.66467793,-0.66467793
-0.6001678,-0.6001678
0.48395404,0.48395404
-0.86411942,-0.86411942
-0.22711286,-0.22711286
-0.79596622,-0.79596622
-1.07631424,-1.07631424
-0.603,-0.603
-1.1515799,-1.1515799
-0.286,-0.286
