Number,Predicted E,Name
1,-0.53965846,IrC
2,-0.51200694,IrC2
3,-0.51208703,Ir2C
4,-0.509766172,Ir3C4
5,-0.502901809,Ir5C2
6,-0.611790093,IrN
7,-0.582279176,IrN2
8,-0.584218663,Ir2N
9,-0.602663121,Ir3N4
10,-0.590461536,Ir5N2
11,-0.549909595,IrB
12,-0.522388937,IrB2
13,-0.522338165,Ir2B
14,-0.496093496,Ir3B4
15,-0.513283807,Ir5B2
16,-0.81816756,NbC
17,-0.842764567,NbC2
18,-0.82591909,Nb2C
19,-0.822989936,Nb3C4
20,-0.855153189,Nb5C2
21,-0.828366475,NbN
22,-0.882573851,NbN2
23,-0.832081998,Nb2N
24,-0.938270677,Nb3N4
25,-0.912396274,Nb5N2
26,-0.846520526,NbB
27,-0.729801175,NbB2
28,-0.874971665,Nb2B
29,-0.703247458,Nb3B4
30,-0.727405071,Nb5B2
31,-0.278554518,RuC
32,-0.13945984,RuC2
33,-0.283938198,Ru2C
34,-0.151718768,Ru3C4
35,-0.173873983,Ru5C2
36,-0.428193306,RuN
37,-0.335064291,RuN2
38,-0.428477489,Ru2N
39,-0.347401957,Ru3N4
40,-0.393011264,Ru5N2
41,-0.331641894,RuB
42,-0.17517453,RuB2
43,-0.330753639,Ru2B
44,-0.1761945,Ru3B4
45,-0.206755785,Ru5B2
46,-0.349615334,CoC
47,-0.1162515,CoC2
48,-0.358097517,Co2C
49,-0.131337534,Co3C4
50,-0.13586261,Co5C2
51,-0.509510108,CoN
52,-0.33586347,CoN2
53,-0.512689792,Co2N
54,-0.373754445,Co3N4
55,-0.366528568,Co5N2
56,-0.375826699,CoB
57,-0.08678332,CoB2
58,-0.382643883,Co2B
59,-0.081152369,Co3B4
60,-0.10639443,Co5B2
61,-0.352888568,FeC
62,-0.227284215,FeC2
63,-0.363732589,Fe2C
64,-0.222980282,Fe3C4
65,-0.246750463,Fe5C2
66,-0.568152252,FeN
67,-0.462082835,FeN2
68,-0.57673046,Fe2N
69,-0.489020564,Fe3N4
70,-0.488002954,Fe5N2
71,-0.39881302,FeB
72,-0.212888119,2-Feb
73,-0.407826028,Fe2B
74,-0.207983375,Fe3B4
75,-0.232059743,Fe5B2
76,-1.066839868,HfC
77,-1.112486422,HfC2
78,-1.0756306,Hf2C
79,-1.134919212,Hf3C4
80,-1.143587084,Hf5C2
