Te Actual E0,Te Predicted E0
-1.08613209,-0.7905500151529398
-0.95692541,-0.718668598726771
0.30436329,-0.6638908187893514
-1.05904721,-0.7950913542980946
-0.04,-0.48576289896341773
-0.35,-0.4678396456281151
-1.02746434,-0.7090216441786112
-0.836,-0.5452952434156267
-0.76291948,-0.7613117362841588
-1.07266794,-0.7418064238639062
-0.63449428,-0.677191028758317
-0.559,-0.5027070500791138
-0.667,-0.8477412241957172
-1.006,-0.9116148363615453
-0.637,-0.7514997762258996
-0.163,-0.4569759888120791
-0.52,-0.48388362390393813
-0.70610557,-0.8229937865948417
-1.0403769,-0.8646301067571723
-0.547,-0.48734105170078923
-0.96903447,-0.7350583932717696
-0.46217204,-0.7836351486447708
-0.35148528,-0.668586465480545
-0.543,-0.4133964677837752
-0.13463746,-0.6991151799049948
-0.69422387,-0.7804808050386639
-1.57199624,-0.743558616005733
-0.843,-0.5044749553796687
-0.38849717,-0.7316946203586767
-1.10193347,-0.7958717214818761
-0.92404966,-0.8100723766514459
-1.01087654,-0.7445083616396604
-0.52635541,-0.8144917321436306
-0.94939097,-0.7382461573565667
-0.691,-0.5690064987150929
-0.292,-0.5284773954050698
-0.42799025,-0.642219787060913
-0.43437729,-0.7524090351085329
-1.05263341,-0.7741581078248481
-0.424,-0.4967051406161138
-1.1107946,-0.7932003028584707
-0.50947717,-0.7726822575213809
-0.37604277,-0.6878119094536179
-0.55721703,-0.7100648261785366
-0.77285153,-0.7578661415542128
-1.07163665,-0.7630132603801358
