Formula,Predicted E,Outside or Within,Verify
MoB,-0.676907612,Outside 0.16 of 0,
MoB2,-0.575129033,Outside 0.16 of 0,
Mo2B,-0.684456294,Outside 0.16 of 0,
Mo3B4,-0.572718432,Outside 0.16 of 0,
Mo5B2,-0.59430945,Outside 0.16 of 0,
MoC,-0.651917261,Outside 0.16 of 0,
MoC2,-0.572484183,Outside 0.16 of 0,
Mo2C,-0.653779453,Outside 0.16 of 0,
Mo3C4,-0.554991206,Outside 0.16 of 0,
Mo5C2,-0.561564337,Outside 0.16 of 0,
MoN,-0.863070546,Outside 0.16 of 0,
MoN2,-0.971951653,Outside 0.16 of 0,
Mo2N,-0.867056987,Outside 0.16 of 0,
Mo3N4,-1.039043789,Outside 0.16 of 0,
Mo5N2,-1.074347829,Outside 0.16 of 0,
MnB,-0.317960575,Outside 0.16 of 0,
MnB2,-0.197312344,Outside 0.16 of 0,
Mn2B,-0.332254945,Outside 0.16 of 0,
Mn3B4,-0.194669697,Outside 0.16 of 0,
Mn5B2,-0.198693963,Outside 0.16 of 0,
MnC,-0.292080755,Outside 0.16 of 0,
MnC2,-0.208587379,Outside 0.16 of 0,
Mn2C,-0.306197957,Outside 0.16 of 0,
Mn3C4,-0.207438862,Outside 0.16 of 0,
Mn5C2,-0.210371589,Outside 0.16 of 0,
MnN,-0.454265249,Outside 0.16 of 0,
MnN2,-0.405214507,Outside 0.16 of 0,
Mn2N,-0.457312854,Outside 0.16 of 0,
Mn3N4,-0.496377536,Outside 0.16 of 0,
Mn5N2,-0.506953841,Outside 0.16 of 0,
FeB,-0.381934128,Outside 0.16 of 0,
2-Feb,-0.226370693,Outside 0.16 of 0,
Fe2B,-0.395856402,Outside 0.16 of 0,
Fe3B4,-0.222415495,Outside 0.16 of 0,
Fe5B2,-0.226311552,Outside 0.16 of 0,
FeC,-0.359870159,Outside 0.16 of 0,
FeC2,-0.231512844,Outside 0.16 of 0,
Fe2C,-0.37472794,Outside 0.16 of 0,
Fe3C4,-0.228822534,Outside 0.16 of 0,
Fe5C2,-0.232121671,Outside 0.16 of 0,
FeN,-0.509791322,Outside 0.16 of 0,
FeN2,-0.438126874,Outside 0.16 of 0,
Fe2N,-0.511314173,Outside 0.16 of 0,
Fe3N4,-0.528700655,Outside 0.16 of 0,
Fe5N2,-0.539148752,Outside 0.16 of 0,
NbB,-0.827204425,Outside 0.16 of 0,
NbB2,-0.70000255,Outside 0.16 of 0,
Nb2B,-0.863401125,Outside 0.16 of 0,
Nb3B4,-0.700291225,Outside 0.16 of 0,
Nb5B2,-0.731642673,Outside 0.16 of 0,
NbC,-0.79438664,Outside 0.16 of 0,
NbC2,-0.840341957,Outside 0.16 of 0,
Nb2C,-0.817834335,Outside 0.16 of 0,
Nb3C4,-0.846819807,Outside 0.16 of 0,
Nb5C2,-0.878205861,Outside 0.16 of 0,
NbN,-0.805656171,Outside 0.16 of 0,
NbN2,-0.849025572,Outside 0.16 of 0,
Nb2N,-0.816467945,Outside 0.16 of 0,
Nb3N4,-0.904055892,Outside 0.16 of 0,
Nb5N2,-0.932168596,Outside 0.16 of 0,
WB,-0.621047226,Outside 0.16 of 0,
WB2,-0.724878027,Outside 0.16 of 0,
W2B,-0.606835339,Outside 0.16 of 0,
W3B4,-0.62608077,Outside 0.16 of 0,
W5B2,-0.631026522,Outside 0.16 of 0,
WC,-0.563995123,Outside 0.16 of 0,
WC2,-0.554089856,Outside 0.16 of 0,
W2C,-0.563081815,Outside 0.16 of 0,
W3C4,-0.454364664,Outside 0.16 of 0,
W5C2,-0.448724184,Outside 0.16 of 0,
WN,-0.664402476,Outside 0.16 of 0,
WN2,-0.707195919,Outside 0.16 of 0,
W2N,-0.664452614,Outside 0.16 of 0,
W3N4,-0.770327388,Outside 0.16 of 0,
W5N2,-0.714342809,Outside 0.16 of 0,
ZrB,-0.918808163,Outside 0.16 of 0,
ZrB2,-0.771245115,Outside 0.16 of 0,
Zr2B,-0.959739374,Outside 0.16 of 0,
Zr3B4,-0.791034196,Outside 0.16 of 0,
Zr5B2,-0.796803253,Outside 0.16 of 0,
ZrC,-1.016143431,Outside 0.16 of 0,
ZrC2,-1.038364018,Outside 0.16 of 0,
Zr2C,-1.046985606,Outside 0.16 of 0,
Zr3C4,-1.068259298,Outside 0.16 of 0,
